38 Provinsi (2022=100),,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100) (Persen),,,,,,,,,,,,
,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
PROV ACEH,-0.13,-0.48,1.6,1.61,-0.59,-0.13,0.68,0.78,0.2,0.12,-0.67,3.6,-
PROV SUMATERA UTARA,0.07,-0.63,0.68,1.35,-0.49,-0.19,0.76,1.37,0.65,-0.2,-0.42,1.66,-
PROV SUMATERA BARAT,0.03,-0.16,1.03,1.77,-0.98,-0.26,0.64,0.52,0.85,0.4,-0.24,1.48,-
PROV RIAU,-0.02,-0.5,1.39,1.43,-0.78,-0.22,0.62,0.85,1.11,-0.06,-0.22,1.21,-
PROV JAMBI,-0.13,-0.6,1.13,1.7,-0.68,0.24,0.52,0.05,0.81,-0.03,0.05,0.62,-
PROV SUMATERA SELATAN,-0.36,-0.41,1.53,1.39,-0.35,0.08,0.14,-0.04,0.27,0.13,0.02,0.49,-
PROV BENGKULU,-0.59,-0.57,1.28,1.31,-0.26,-0.53,0.4,0.1,0.97,0.18,0.04,0.43,-
PROV LAMPUNG,-0.71,-0.66,1.96,1.19,-0.58,0.04,0.19,-1.47,0.16,0.23,0.36,0.59,-
PROV KEPULAUAN BANGKA BELITUNG,-0.85,-0.03,1.83,0.77,-0.89,-0.1,0.65,-0.46,0.46,0.49,0.36,0.55,-
PROV KEPULAUAN RIAU,0.43,-0.14,0.38,0.59,-0.44,-0.12,0.19,0.18,0.64,0.36,0.23,1.14,-
PROV DKI JAKARTA,-1.5,-0.29,2,1.44,-0.24,0.13,0.11,-0.05,0.13,0.31,0.27,0.33,-
PROV JAWA BARAT,-0.68,-0.61,1.6,1.01,-0.32,0.27,0.3,-0.19,0.21,0.45,0.16,0.43,-
PROV JAWA TENGAH,-0.46,-0.78,1.43,1.38,-0.49,0.24,0.18,-0.1,0.21,0.4,0.19,0.5,-
PROV DI YOGYAKARTA,-0.35,-0.86,1.25,1.67,-0.15,0.23,0.05,-0.24,0.15,0.42,0.27,0.65,-
PROV JAWA TIMUR,-0.54,-0.59,1.44,0.93,-0.34,0.43,0.22,-0.1,0.23,0.3,0.17,0.76,-
PROV BANTEN,-1.05,-0.66,2.02,1.29,-0.54,0.19,0.21,-0.32,0.1,0.57,0.27,0.67,-
PROV BALI,-0.02,-0.57,1.61,0.73,-0.47,0.44,0.32,-0.39,-0.01,0.16,0.4,0.7,-
PROV NUSA TENGGARA BARAT,-0.55,-0.6,2.04,0.69,-0.58,0.6,0.17,-0.41,0.22,0.35,0.34,0.72,-
PROV NUSA TENGGARA TIMUR,-0.27,0.37,1.24,0.22,-0.4,-0.11,0.96,-0.55,-0.43,-0.04,0.58,0.81,-
PROV KALIMANTAN BARAT,-1.17,-0.04,1.23,0.95,-0.45,0.32,0.47,-0.26,0.11,0.17,0.24,0.28,-
PROV KALIMANTAN TENGAH,-0.54,-0.46,1.71,0.61,-0.53,0.32,0.38,-0.44,0.33,0.52,0.19,1.04,-
PROV KALIMANTAN SELATAN,-0.76,-0.39,1.59,1.08,-0.32,0.23,0.21,-0.16,0.29,0.36,0.73,0.76,-
PROV KALIMANTAN TIMUR,-1,-0.25,2.02,0.9,-0.35,0.54,0.06,-0.4,0.04,0.01,0.41,0.71,-
PROV KALIMANTAN UTARA,-1.35,-0.17,2.16,0.45,0.06,0.07,0.59,0.06,-0.01,0.08,0.11,0.54,-
PROV SULAWESI UTARA,-1.1,-0.53,2.65,1.02,-0.79,0.64,0.21,-1.11,0.07,0.12,-0.41,0.51,-
PROV SULAWESI TENGAH,-1.18,0.06,2.82,1.12,-0.28,0.05,0.96,0.06,-0.07,0.05,-0.41,0.14,-
PROV SULAWESI SELATAN,-0.75,-0.89,2.16,1.75,-0.34,-0.06,0.61,0.04,-0.17,0.1,-0.07,0.49,-
PROV SULAWESI TENGGARA,-1.45,0.36,2.39,0.89,-0.14,0.7,1.01,-0.24,-0.26,-0.58,-0.02,0.22,-
PROV GORONTALO,-1.64,0.1,2.88,1.09,-1.68,0.37,1.34,-0.73,-0.12,-0.14,0.24,0.88,-
PROV SULAWESI BARAT,-1.08,-0.48,2.23,1.51,-0.22,0.18,0.52,-0.18,-0.14,-0.18,-0.24,0.58,-
PROV MALUKU,-0.33,-0.63,1.72,0.09,0.8,0.97,0.26,-0.09,-0.29,-0.05,0.28,0.81,-
PROV MALUKU UTARA,-1.64,-0.11,2.65,1.33,-0.71,0.27,0.39,-1.9,-0.04,0.29,1.13,0.05,-
PROV PAPUA BARAT,-2.29,-1.41,2.3,0.55,-0.33,0.58,1.24,-0.99,0.97,-0.19,0.65,1.6,-
PROV PAPUA BARAT DAYA,-1.36,-0.95,1.11,0.9,0.04,0.42,0.71,0.87,-0.11,-0.08,-0.02,0.65,-
PROV PAPUA,-1.13,-0.52,1.13,0.69,0.29,0.09,-0.34,-0.93,0.04,-0.24,1.69,1.77,-
PROV PAPUA SELATAN,-0.75,-0.06,2.2,1.2,0.64,-0.33,1.44,-1.33,-1.08,0.02,0.22,0.81,-
PROV PAPUA TENGAH,-1.78,-0.1,2.6,1.21,0.01,-0.11,0.67,-1.23,-0.03,0.32,0.78,0.96,-
PROV PAPUA PEGUNUNGAN,0.23,2.78,0.08,-0.9,0.91,-1.5,1.65,-0.44,-0.75,-0.92,0.56,1.58,-
INDONESIA,-0.76,-0.48,1.65,1.17,-0.37,0.19,0.3,-0.08,0.21,0.28,0.17,0.64,-
